series,economy,period,value,unit,source_id
Broad local government debt,China,2015,42.97,percent of GDP,broad_local_debt
Broad local government debt,China,2016,47.61,percent of GDP,broad_local_debt
Broad local government debt,China,2017,49.55,percent of GDP,broad_local_debt
Broad local government debt,China,2018,49.89,percent of GDP,broad_local_debt
Broad local government debt,China,2019,53.52,percent of GDP,broad_local_debt
Broad local government debt,China,2020,61.25,percent of GDP,broad_local_debt
Broad local government debt,China,2021,62.84,percent of GDP,broad_local_debt
Broad local government debt,China,2022,68.47,percent of GDP,broad_local_debt
