series,economy,period,value,unit,source_id
Listed domestic companies market capitalization,United States,2010,114.85,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2011,100.26,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2012,114.85,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2013,142.38,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2014,149.54,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2015,137.02,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2016,145.45,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2017,163.78,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2018,147.34,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2019,158.24,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2020,194.48,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2021,204.62,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2022,154.67,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2023,176.11,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2024,212.25,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,United States,2025,224.04,percent of GDP,market_cap_gdp
